role_id,skill_id,importance_score,level_required
R001,S001,1.0,Advanced
R001,S002,1.0,Advanced
R001,S011,1.0,Advanced
R001,S012,0.8,Advanced
R001,S017,1.0,Advanced
R001,S018,1.0,Advanced
R001,S019,1.0,Advanced
R001,S020,0.8,Advanced
R001,S010,0.6,Intermediate
R001,S023,0.6,Intermediate
R001,S057,0.8,Advanced
R001,S052,0.8,Advanced
R001,S054,0.8,Advanced
R001,S016,0.6,Intermediate
R001,S058,0.4,Beginner
R002,S001,1.0,Advanced
R002,S011,1.0,Advanced
R002,S012,0.8,Advanced
R002,S015,1.0,Advanced
R002,S038,0.8,Advanced
R002,S039,0.8,Advanced
R002,S040,0.8,Advanced
R002,S041,1.0,Advanced
R002,S034,0.6,Intermediate
R002,S036,0.8,Advanced
R002,S044,0.6,Intermediate
R002,S002,0.6,Intermediate
R002,S032,0.6,Intermediate
R002,S052,0.6,Intermediate
R003,S001,1.0,Advanced
R003,S011,1.0,Advanced
R003,S012,1.0,Advanced
R003,S013,0.8,Advanced
R003,S014,0.8,Advanced
R003,S019,1.0,Advanced
R003,S057,1.0,Advanced
R003,S058,1.0,Advanced
R003,S016,0.8,Advanced
R003,S017,0.6,Intermediate
R003,S052,0.8,Advanced
R003,S054,0.8,Advanced
R003,S010,0.4,Beginner
R004,S002,1.0,Advanced
R004,S017,0.8,Advanced
R004,S018,1.0,Advanced
R004,S019,0.8,Advanced
R004,S020,0.6,Intermediate
R004,S021,0.8,Advanced
R004,S052,1.0,Advanced
R004,S054,0.6,Intermediate
R004,S001,0.4,Beginner
R004,S010,0.4,Beginner
R004,S056,0.6,Intermediate
R005,S001,1.0,Advanced
R005,S013,1.0,Advanced
R005,S011,0.8,Advanced
R005,S012,1.0,Advanced
R005,S015,0.6,Intermediate
R005,S017,0.8,Advanced
R005,S057,0.8,Advanced
R005,S032,0.4,Beginner
R005,S052,0.6,Intermediate
R005,S058,0.6,Intermediate
R005,S016,0.4,Beginner
R006,S001,1.0,Advanced
R006,S014,1.0,Advanced
R006,S012,1.0,Advanced
R006,S011,0.8,Advanced
R006,S008,0.4,Beginner
R006,S017,0.6,Intermediate
R006,S057,0.8,Advanced
R006,S015,0.4,Beginner
R006,S052,0.4,Beginner
R006,S058,0.6,Intermediate
R007,S001,1.0,Advanced
R007,S002,1.0,Advanced
R007,S022,1.0,Advanced
R007,S023,0.8,Advanced
R007,S030,0.8,Advanced
R007,S031,0.6,Intermediate
R007,S040,0.8,Advanced
R007,S038,0.8,Advanced
R007,S039,0.6,Intermediate
R007,S044,0.6,Intermediate
R007,S036,0.8,Advanced
